DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
U898,C0009806,136,136,136,1.0
U260,C0018681,36,36,36,1.0
U359,C0020429,78,78,78,1.0
U834,C0018681,35,35,35,1.0
U700,C0020429,77,77,77,1.0
U559,C0013595,32,32,32,1.0
U265,C0020429,77,77,77,1.0
U263,C0033774,57,57,57,1.0
U1010,C0917816,114,114,114,1.0
U711,C0003862,69,69,69,1.0
U244,C0010200,23,23,23,1.0
U160,C0013491,67,67,67,1.0
U230,C0086132,28,28,28,1.0
U891,C0015967,120,120,120,1.0
U890,C0008031,37,37,37,1.0
U612,C0018834,6,6,6,1.0
U399,C0000737,38,38,38,1.0
U524,C0020429,77,77,77,1.0
U76,C0030193,77,77,77,1.0
U544,C0010200,23,23,23,1.0
U95,C0010200,23,23,23,1.0
U680,C0030193,78,78,78,1.0
U335,C0011991,103,103,103,1.0
U784,C0009806,143,143,143,1.0
U43,C0018681,25,25,25,1.0
U659,C0011991,110,110,110,1.0
U584,C0010200,21,21,21,1.0
U36,C0000737,92,92,92,1.0
U538,C0030193,77,77,77,1.0
U360,C0020429,78,78,78,1.0
U236,C0030193,76,76,76,1.0
U214,C0020429,75,75,75,1.0
U614,C0011991,100,100,100,1.0
U713,C0030193,75,75,75,1.0
U834,C0011991,111,111,111,1.0
U116,C0012833,27,27,27,1.0
U669,C0008031,37,37,37,1.0
U566,C0030193,77,77,77,1.0
U172,C0030193,69,69,69,1.0
U76,C0237326,132,132,132,1.0
U86,C0030193,64,64,64,1.0
U260,C0020429,78,78,78,1.0
U953,C0020429,76,76,76,1.0
U83,C0032285,31,31,31,1.0
U858,C0023380,76,76,76,1.0
U488,C0020429,57,57,57,1.0
U867,C0030193,77,77,77,1.0
U52,C0013595,32,32,32,1.0
U874,C0013604,66,66,66,1.0
U875,C0010200,23,23,23,1.0
U560,C0020429,75,75,75,1.0
U513,C0030193,77,77,77,1.0
U594,C0020429,78,78,78,1.0
U614,C0030193,67,67,67,1.0
U351,C0013595,32,32,32,1.0
U765,C0018989,27,27,27,1.0
U230,C0700590,77,77,77,1.0
U533,C0010200,22,22,22,1.0
U944,C0851578,24,24,24,1.0
U439,C0019825,31,31,31,1.0
U36,C0018681,36,36,36,1.0
U169,C0000737,85,85,85,1.0
U349,C0010200,23,23,23,1.0
U396,C0020429,78,78,78,1.0
U837,C0039070,23,23,23,1.0
U321,C0018681,35,35,35,1.0
U248,C0039070,22,22,22,1.0
U607,C0000737,92,92,92,1.0
U959,C0010200,23,23,23,1.0
U50,C0030193,77,77,77,1.0
U135,C0851578,24,24,24,1.0
U5,C0000737,92,92,92,1.0
U590,C0042963,87,87,87,1.0
U803,C0015967,106,106,106,1.0
U627,C0020429,77,77,77,1.0
U859,C0020429,78,78,78,1.0
U826,C0000737,92,92,92,1.0
U841,C0012833,27,27,27,1.0
U463,C0009806,155,155,155,1.0
U872,C0030193,73,73,73,1.0
U447,C0030193,76,76,76,1.0
U999,C0008031,37,37,37,1.0
U776,C0008031,37,37,37,1.0
U443,C0008031,36,36,36,1.0
U691,C0030193,75,75,75,1.0
U635,C0018989,27,27,27,1.0
U180,C0237326,131,131,131,1.0
U779,C0010200,23,23,23,1.0
U382,C0015967,124,124,124,1.0
U430,C0018681,36,36,36,1.0
U40,C0022346,2,2,2,1.0
U382,C0011991,115,115,115,1.0
U77,C0009421,53,53,53,1.0
U526,C0013595,32,32,32,1.0
U265,C0036572,542,542,542,1.0
U505,C0237326,132,132,132,1.0
U6,C0009421,57,57,57,1.0
U120,C0030193,77,77,77,1.0
U963,C0020429,78,78,78,1.0
U693,C0020429,77,77,77,1.0
U211,C0030193,72,72,72,1.0
U202,C0030193,78,78,78,1.0
U858,C0020429,78,78,78,1.0
U914,C0020429,75,75,75,1.0
U58,C0020429,64,64,64,1.0
U578,C0030193,78,78,78,1.0
U363,C0013595,32,32,32,1.0
U971,C0000737,92,92,92,1.0
U10,C0009806,154,154,154,1.0
U247,C0231835,19,19,19,1.0
U463,C0237326,131,131,131,1.0
U58,C0030193,63,63,63,1.0
U360,C0042571,27,27,27,1.0
U670,C0000737,92,92,92,1.0
U54,C0042963,110,110,110,1.0
U670,C0042798,169,169,169,1.0
U206,C0030193,77,77,77,1.0
U372,C0015967,123,123,123,1.0
U26,C0018681,36,36,36,1.0
U834,C0020429,54,54,54,1.0
U532,C0013595,32,32,32,1.0
U124,C0030193,70,70,70,1.0
U296,C0020429,36,36,36,1.0
U730,C0042963,110,110,110,1.0
U559,C0020429,78,78,78,1.0
U196,C0023380,76,76,76,1.0
U195,C0036572,541,541,541,1.0
U582,C0015967,123,123,123,1.0
U767,C0010200,23,23,23,1.0
U171,C0030193,77,77,77,1.0
U697,C0030193,77,77,77,1.0
U24,C0030193,78,78,78,1.0
U630,C0003862,89,89,89,1.0
U338,C0011991,114,114,114,1.0
U162,C0012833,27,27,27,1.0
U496,C0013595,32,32,32,1.0
U146,C0010200,23,23,23,1.0
U829,C0011570,18,18,18,1.0
U297,C0030193,76,76,76,1.0
U387,C0020429,75,75,75,1.0
U566,C0011991,114,114,114,1.0
U116,C0013604,64,64,64,1.0
U447,C0237326,129,129,129,1.0
U86,C0018681,30,30,30,1.0
U268,C0012833,27,27,27,1.0
U118,C0011991,114,114,114,1.0
U584,C0237326,113,113,113,1.0
U58,C0011991,100,100,100,1.0
U958,C0010200,22,22,22,1.0
U247,C0020429,53,53,53,1.0
U195,C0020429,73,73,73,1.0
U530,C0018681,36,36,36,1.0
U734,C0013604,67,67,67,1.0
U642,C0000737,88,88,88,1.0
U451,C0020429,78,78,78,1.0
U54,C0020429,78,78,78,1.0
U207,C0010200,23,23,23,1.0
U146,C0020429,77,77,77,1.0
U87,C0013604,67,67,67,1.0
U637,C0020429,75,75,75,1.0
U961,C0013604,67,67,67,1.0
U205,C0973461,22,22,22,1.0
U477,C0000737,91,91,91,1.0
U242,C0008031,35,35,35,1.0
U914,C0011991,113,113,113,1.0
U995,C0042571,27,27,27,1.0
U146,C0039070,23,23,23,1.0
U640,C0015967,121,121,121,1.0
U150,C0008031,37,37,37,1.0
U820,C0030193,14,14,14,1.0
U206,C0020429,77,77,77,1.0
U642,C0020429,75,75,75,1.0
U861,C0011991,112,112,112,1.0
U172,C0033774,55,55,55,1.0
U627,C0000737,90,90,90,1.0
U37,C0010200,23,23,23,1.0
U504,C0010200,21,21,21,1.0
U195,C0000737,88,88,88,1.0
U789,C0010200,8,8,8,1.0
U496,C0036572,560,560,560,1.0
U325,C0030193,77,77,77,1.0
U661,C0008031,37,37,37,1.0
U375,C0011991,115,115,115,1.0
U516,C0020429,77,77,77,1.0
U629,C0011991,80,80,80,1.0
U612,C0231835,3,3,3,1.0
U952,C0030193,74,74,74,1.0
U711,C0020429,59,59,59,1.0
U793,C0037317,34,34,34,1.0
U679,C0032285,31,31,31,1.0
U242,C0020429,54,54,54,1.0
U721,C0542476,32,32,32,1.0
U382,C0020429,78,78,78,1.0
U360,C0011991,114,114,114,1.0
U440,C0030193,78,78,78,1.0
U201,C0020429,78,78,78,1.0
U164,C0032285,31,31,31,1.0
U484,C0010200,23,23,23,1.0
U262,C0011991,114,114,114,1.0
U852,C0010200,23,23,23,1.0
